id,identifier,species_id,height,weight,base_experience,order,is_default
1,bulbasaur,1,7,69,64,1,1
2,ivysaur,2,10,130,142,2,1
3,venusaur,3,20,1000,236,3,1
4,charmander,4,6,85,62,5,1
5,charmeleon,5,11,190,142,6,1
6,charizard,6,17,905,240,7,1
7,squirtle,7,5,90,63,10,1
8,wartortle,8,10,225,142,11,1
9,blastoise,9,16,855,239,12,1
10,caterpie,10,3,29,39,14,1
11,metapod,11,7,99,72,15,1
12,butterfree,12,11,320,178,16,1
13,weedle,13,3,32,39,17,1
14,kakuna,14,6,100,72,18,1
15,beedrill,15,10,295,178,19,1
16,pidgey,16,3,18,50,21,1
17,pidgeotto,17,11,300,122,22,1
18,pidgeot,18,15,395,216,23,1
19,rattata,19,3,35,51,25,1
20,raticate,20,7,185,145,27,1
21,spearow,21,3,20,52,30,1
22,fearow,22,12,380,155,31,1
23,ekans,23,20,69,58,32,1
24,arbok,24,35,650,157,33,1
25,pikachu,25,4,60,112,35,1
26,raichu,26,8,300,218,49,1
27,sandshrew,27,6,120,60,51,1
28,sandslash,28,10,295,158,53,1
29,nidoran-f,29,4,70,55,55,1
30,nidorina,30,8,200,128,56,1
31,nidoqueen,31,13,600,227,57,1
32,nidoran-m,32,5,90,55,58,1
33,nidorino,33,9,195,128,59,1
34,nidoking,34,14,620,227,60,1
35,clefairy,35,6,75,113,62,1
36,clefable,36,13,400,217,63,1
37,vulpix,37,6,99,60,64,1
38,ninetales,38,11,199,177,66,1
39,jigglypuff,39,5,55,95,69,1
40,wigglytuff,40,10,120,196,70,1
41,zubat,41,8,75,49,71,1
42,golbat,42,16,550,159,72,1
43,oddish,43,5,54,64,74,1
44,gloom,44,8,86,138,75,1
45,vileplume,45,12,186,221,76,1
46,paras,46,3,54,57,78,1
47,parasect,47,10,295,142,79,1
48,venonat,48,10,300,61,80,1
49,venomoth,49,15,125,158,81,1
50,diglett,50,2,8,53,82,1
51,dugtrio,51,7,333,149,84,1
52,meowth,52,4,42,58,86,1
53,persian,53,10,320,154,88,1
54,psyduck,54,8,196,64,90,1
55,golduck,55,17,766,175,91,1
56,mankey,56,5,280,61,92,1
57,primeape,57,10,320,159,93,1
58,growlithe,58,7,190,70,94,1
59,arcanine,59,19,1550,194,95,1
60,poliwag,60,6,124,60,96,1
61,poliwhirl,61,10,200,135,97,1
62,poliwrath,62,13,540,230,98,1
63,abra,63,9,195,62,100,1
64,kadabra,64,13,565,140,101,1
65,alakazam,65,15,480,225,102,1
66,machop,66,8,195,61,104,1
67,machoke,67,15,705,142,105,1
68,machamp,68,16,1300,227,106,1
69,bellsprout,69,7,40,60,107,1
70,weepinbell,70,10,64,137,108,1
71,victreebel,71,17,155,221,109,1
72,tentacool,72,9,455,67,110,1
73,tentacruel,73,16,550,180,111,1
74,geodude,74,4,200,60,112,1
75,graveler,75,10,1050,137,114,1
